 ;;;;; ;;;;;;;
Tabel Positifvity rate Hasil Lab Covid19 - DKI Jakarta;;;;;;;;;;;;
;;;;;;;;;;;;
Tanggal;Tahun;Jumlah orang di tes;Orang Positif Harian;Orang negatif harian;Positif rate kasus baru harian;Total spesimen di tes;Positif;Negatif;Positif rate (specimen harian);;;
16/08/;2021;11.663;655;11.008;5,60%;20.685;2.186;18.499;0,60%;;;
;; ;;;;;;;;;;
;;;;;;;;;;;;
15/08/;2021;6.076;513;5.563;8,40%;14.224;1.606;12.618;11,30%;;;
;;;;;;;;;;;;
14/08/;2021;14.374;1.182;13.192;8,20%;23.307;3.156;20.151;3,50%;;;
;; ;;;;;;;;;;
13/08/;2021;16.144;1.363;14.781;8,40%;24.202;3.351;20.851;13,80%;;;
;;;;;;;;;;;;
12/08/;2021;15.419;1.210;14.209;7,80%;22.829;3.098;19.731;3,60%;;;
;; ;;;;;;;;;;
11/08/;2021;14.615;1.078;13.537;7,40%;20.956;2.765;18.191;13,20%;;;
;;;;;;;;;;;;
10/08/;2021;21.813;1.958;19.855;9,00%;27.847;4.789;23.058;7,20%;;;
;; ;;;;;;;;;;
09/08/;2021;15.094;1.425;13.669;9,40%;21.854;3.799;18.055;17,40%;;;
;;;;;;;;;;;;
08/08/;2021;8.155;727;7.428;8,90%;15.585;2.503;13.082;6,10%;;;
;; ;;;;;;;;;;
07/08/;2021;17.018;1.649;15.369;9,70%;24.066;4.193;19.873;17,40%;;;
;;;;;;;;;;;;
06/08/;2021;20.398;2.008;18.390;9,80%;26.383;4.870;21.513;8,50%;;;
;; ;;;;;;;;;;
05/08/;2021;20.760;2.185;18.575;10,50%;25.104;5.087;20.017;20,30%;;;
;;;;;;;;;;;;
04/08/;2021;21.154;2.311;18.843;10,90%;26.672;5.797;20.875;21,70%;;;
;; ;;;;;;;;;;
03/08/;2021;25.595;2.982;22.613;11,70%;32.026;7.052;24.974;22,00%;;;
;;;;;;;;;;;;
02/08/;2021;15.952;1.601;14.351;10,00%;22.649;4.823;17.826;21,30%;;;
;; ;;;;;;;;;;
01/08/;2021;11.587;1.410;10.177;12,20%;17.321;3.843;13.478;22,20%;;;
;;;;;;;;;;;;
31/07/;2021;19.619;2.701;16.918;13,80%;28.178;7.516;20.662;26,70%;;;
;; ;;;;;;;;;;
30/07/;2021;24.573;3.329;21.244;13,50%;29.646;7.869;21.777;26,50%;;;
;;;;;;;;;;;;
29/07/;2021;23.582;3.454;20.128;14,60%;30.823;8.650;22.173;28,10%;;;
;; ;;;;;;;;;;
28/07/;2021;25.442;3.845;21.597;15,10%;32.405;9.349;23.056;28,90%;;;
;;;;;;;;;;;;
27/07/;2021;28.249;5.525;22.724;19,60%;40.117;12.117;28.000;30,20%;;;
;; ;;;;;;;;;;
26/07/;2021;23.979;3.567;20.412;14,90%;30.153;9.339;20.814;31,00%;;;
;;;;;;;;;;;;
25/07/;2021;24.602;2.662;21.940;10,80%;22.709;6.966;15.743;30,70%;;;
;; ;;;;;;;;;;
24/07/;2021;27.435;5.393;22.042;19,70%;36.462;12.720;23.742;34,90%;;;
;;;;;;;;;;;;
